Filename,TextGridLabel,Intensity
M1A70,fix1,51.8003894
M1A70,y1,73.97679302
M1A70,U2,76.27643223
M1A70,a3,61.30347365
M1A70,y4,71.28149978
M1A70,U5,71.77353012
M1A70,a6,68.59140728
M1A70,fix2,67.31662705
M1A72,fix1,52.3887687
M1A72,y1,70.87856196
M1A72,i2,70.61941826
M1A72,U3,70.04994877
M1A72,y4,69.37229529
M1A72,i5,68.20715068
M1A72,U6,72.36704906
M1A72,fix2,71.64663761
M1A73,fix1,55.90743881
M1A73,a1,71.12467125
M1A73,U2,74.2930288
M1A73,a3,64.11087793
M1A73,a4,70.45620395
M1A73,U5,72.54314935
M1A73,a6,70.09845845
M1A73,fix2,68.43371952
M1A74,fix1,53.52495758
M1A74,a1,70.86134823
M1A74,u2,70.58127231
M1A74,U3,74.71292772
M1A74,a4,68.53072133
M1A74,u5,67.35731303
M1A74,U6,74.30048724
M1A74,fix2,54.56987337
M1A75,fix1,55.31110923
M1A75,i1,73.89271201
M1A75, ,59.91960214
M1A75,i2,72.66839925
M1A75,U3,77.53979856
M1A75,i4,71.49846564
M1A75,i5,70.17988445
M1A75,U6,72.79488144
M1A75,fix2,67.76983651
M1A76,fix1,65.59519536
M1A76,e1,71.07399846
M1A76,u2,69.97985308
M1A76,U3,70.34554173
M1A76,e4,69.11470699
M1A76,u5,69.49023358
M1A76,U6,73.52834596
M1A76,fix2,70.20914217
M1A77,fix1,43.23393841
M1A77,a0,58.40450557
M1A77,e10,67.73995457
M1A77,I20,75.06859139
M1A77,o30,68.00733479
M1A77,a00,71.74820763
M1A77,e40,71.04695295
M1A77,I50,72.0578908
M1A77,o60,74.48855506
M1A77,fix2,68.85432181
M1A78,fix1,68.57928132
M1A78,e1,73.12328121
M1A78,I2,73.40194412
M1A78,a3,66.76218747
M1A78,e4,70.29395146
M1A78,I5,74.11158982
M1A78,a6,70.8273359
M1A78,fix2,70.95493697
M1A8,fix1,44.0311492
M1A8,e0,73.71307276
M1A8,e10,77.41343952
M1A8,i20,76.46575239
M1A8,U30,78.20937086
M1A8,e00,76.41588097
M1A8,e40,76.28671129
M1A8,i50,73.91950174
M1A8,U60,76.14593119
M1A8,fix2,71.33284368
M1A9,fix1,73.15882616
M1A9,a0,75.26762324
M1A9,a10,74.14062062
M1A9,U30,76.61940652
M1A9,a40,68.15581999
M1A9,a00,76.6012198
M1A9,a40,74.40693974
M1A9,U50,78.14317075
M1A9,a60,76.01209772
M1A9,fix2,70.77331429
M1B10,fix1,73.56000265
M1B10,e0,74.56666825
M1B10,e10,75.4521488
M1B10,I20,76.93964155
M1B10,e30,71.38556157
M1B10,e00,70.53617244
M1B10,e40,73.96869924
M1B10,I50,75.95448512
M1B10,e60,74.46539838
M1B10,fix2,69.23540001
M1B11,fix1,60.42357096
M1B11,i1,73.79239354
M1B11,I2,77.29657812
M1B11,a3,51.31161894
M1B11,i4,72.32684243
M1B11,I5,75.60334275
M1B11,a6,71.96703238
M1B11,fix2,72.09179793
M1B14,fix1,68.48590861
M1B14,e1,67.85726282
M1B14,u2,67.78965234
M1B14,E3,68.83323001
M1B14,e4,68.37172741
M1B14,u5,67.49330542
M1B14,E6,71.16669393
M1B14,fix2,62.12749582
M1B15,fix1,61.82185904
M1B15,u1,68.63769984
M1B15,I2,73.44329501
M1B15,o3,63.27771239
M1B15,u4,69.47193792
M1B15,I5,76.17174363
M1B15,o6,72.52356105
M1B15,fix2,66.02361315
M1B16,fix1,47.42309485
M1B16,a1,71.44960682
M1B16,u2,69.01883035
M1B16,U3,76.81487657
M1B16,a4,69.90695665
M1B16,u5,68.11901782
M1B16,U6,75.40661173
M1B16,fix2,69.5472234
M1B17,fix1,55.17976823
M1B17,a1,68.19243597
M1B17,e1,68.88923832
M1B17,E3,72.51769006
M1B17,a4,66.86058308
M1B17,e5,64.85714225
M1B17,E6,73.02961167
M1B17,fix2,68.06122586
M1B18,fix1,48.05294683
M1B18,u1,70.80119533
M1B18,i2,70.76381998
M1B18,u3,72.50674553
M1B18,u4,68.54531828
M1B18,i5,67.83846579
M1B18,U6,74.12234636
M1B18,fix2,66.48333059
M1B19,fix1,52.28399433
M1B19,a1,70.77547577
M1B19,U2,73.91828726
M1B19,a3,68.55596195
M1B19,a4,68.72203829
M1B19,U5,71.56138436
M1B19,a6,71.50864065
M1B19,fix2,68.6037414
M1B20,fix1,48.41190422
M1B20,e1,73.64757872
M1B20,u2,73.10438223
M1B20,U3,75.27394044
M1B20,e4,71.03508504
M1B20,u5,72.28270278
M1B20,U6,73.84411404
M1B20,fix2,65.75031966
M1B23,fix1,71.96800385
M1B23,i1,72.92104435
M1B23,i2,73.23229723
M1B23,U3,72.57602788
M1B23,i4,71.85618048
M1B23,i5,70.33211939
M1B23,U6,71.62548961
M1B23,fix2,67.38317408
M1B24,fix1,46.38253721
M1B24,a1,70.61531724
M1B24,U2,69.74594427
M1B24,o3,69.77969113
M1B24,a4,66.81960206
M1B24,U5,72.75240212
M1B24,o6,70.15016109
M1B24,fix2,68.22627206
M1B25,fix1,68.68587111
M1B25,y1,69.05852832
M1B25,u2,69.46855055
M1B25,U3,73.62025482
M1B25,y4,67.87486851
M1B25,u5,64.87830175
M1B25,U6,73.61706107
M1B25,fix2,67.51744958
M1B26,fix1,47.3183189
M1B26,a1,68.84745309
M1B26,U2,70.28770185
M1B26,e3,67.23140962
M1B26,a4,66.93740601
M1B26,u5,65.35861968
M1B26,E6,71.23653382
M1B26,fix2,68.22890452
M1B27,fix1,45.67151636
M1B27,a1,70.95429158
M1B27,U2,71.15148959
M1B27,a3,64.67200437
M1B27,a4,69.88659458
M1B27,U5,71.43199385
M1B27,a6,69.25910423
M1B27,fix2,67.9954709
M1B29,fix1,52.92461316
M1B29,a0,68.53368844
M1B29,e10,72.25036116
M1B29,I20,72.63065438
M1B29,o30,63.52673056
M1B29,a00,70.00261003
M1B29,e40,72.4285947
M1B29,I50,73.17167436
M1B29,o60,72.38088187
M1B29,fix2,70.51403799
M1B30,fix1,41.32636303
M1B30,y1,67.28990673
M1B30,u2,69.89578478
M1B30,E3,68.75088552
M1B30,y4,67.17632041
M1B30,u5,69.65282692
M1B30,E6,72.33817751
M1B30,fix2,67.30261618
M1B31,fix1,61.26230176
M1B31,a1,68.43946171
M1B31,U2,73.23190585
M1B31,o3,68.63725861
M1B31,a4,69.67593168
M1B31,U5,75.28588412
M1B31,o6,71.22660566
M1B31,fix2,68.26362106
M1B32,fix1,69.16621933
M1B32,a1,70.90533491
M1B32,u2,69.00642736
M1B32,U3,71.97835317
M1B32,a4,70.83083459
M1B32,u5,68.18314818
M1B32,U6,74.3595735
M1B32,fix2,68.43743574
M1B33,fix1,53.97377889
M1B33,e0,69.39747267
M1B33,e10,71.02758619
M1B33,I20,72.69992832
M1B33,o30,64.92946542
M1B33,e00,70.45421973
